"Date","temperature","NO2","O3"
43102,-11.7,41,2
43102.0416666667,-11.3,28,14
43102.0833333333,-11.6,20,20
43102.125,-11.2,18,20
43102.1666666667,-11.3,19,19
43102.2083333333,-10.1,18,21
43102.25,-9.7,10,28
43102.2916666667,-10.5,12,26
43102.3333333333,-10.9,20,20
43102.375,-11.8,19,21
43102.4166666667,-11.3,18,21
43102.4583333333,-10.4,19,20
43102.5,-9.7,18,21
43102.5416666667,-8.7,17,23
43102.5833333333,-8.2,19,21
43102.625,-8.2,18,23
43102.6666666667,-8.4,17,23
43102.7083333333,-9.1,16,22
43102.75,-10.7,20,19
43102.7916666667,-10.9,17,21
43102.8333333333,-11.2,16,22
43102.875,-12,17,21
43102.9166666667,-12.1,15,22
43102.9583333333,-12.3,20,18
43103,-12.9,16,22
43103.0416666667,-13.1,14,27
43103.0833333333,-13.4,16,24
43103.125,-13.1,16,25
43103.1666666667,-12,16,25
43103.2083333333,-11.3,16,25
43103.25,-11.2,12,30
43103.2916666667,-11,16,28
43103.3333333333,-11.6,22,21
43103.375,-10.7,15,24
43103.4166666667,-9.1,14,25
43103.4583333333,-8.6,15,25
43103.5,-7.2,15,25
43103.5416666667,-6.9,18,21
43103.5833333333,-6.5,15,24
43103.625,-6.8,13,26
43103.6666666667,-7,14,26
43103.7083333333,-7,16,22
43103.75,-7.5,19,19
43103.7916666667,-7.9,18,19
43103.8333333333,-8.8,17,18
43103.875,-9.2,19,15
43103.9166666667,-9.4,21,13
43103.9583333333,-9.5,21,12
43104,-9.2,21,12
43104.0416666667,-9.2,23,9
43104.0833333333,-9.2,26,6
43104.125,-9.2,26,7
43104.1666666667,-9.6,26,8
43104.2083333333,-9.8,33,4
43104.25,-10.1,18,17
43104.2916666667,-11.3,20,15
43104.3333333333,-12.4,18,17
43104.375,-12.9,12,23
43104.4166666667,-11.5,11,26
43104.4583333333,-10.9,8,29
43104.5,-11.3,8,29
43104.5416666667,-11.6,8,29
43104.5833333333,-11.7,7,29
43104.625,-11.9,8,27
43104.6666666667,-12.6,8,26
43104.7083333333,-13.9,9,26
43104.75,-14.9,10,25
43104.7916666667,-15.2,10,26
43104.8333333333,-17.4,10,27
43104.875,-18.1,9,28
43104.9166666667,-18.9,9,28
43104.9583333333,-19.5,10,27
43105,-20.1,10,27
43105.0416666667,-20.5,13,24
43105.0833333333,-21.2,12,24
43105.125,-21.6,10,25
43105.1666666667,-21.9,14,22
43105.2083333333,-21.6,14,22
43105.25,-23,15,21
43105.2916666667,-22,16,20
43105.3333333333,-21.9,16,19
43105.375,-21.2,13,22
43105.4166666667,-20.4,9,26
43105.4583333333,-19,6,28
43105.5,-18.3,7,28
43105.5416666667,-17.5,6,29
43105.5833333333,-16.5,6,29
43105.625,-15.2,7,28
43105.6666666667,-15.9,9,26
43105.7083333333,-16.9,11,24
43105.75,-17.7,12,23
43105.7916666667,-17.4,12,24
43105.8333333333,-17.2,17,21
43105.875,-18.4,21,17
43105.9166666667,-19.3,17,20
43105.9583333333,-19.1,12,24
43106,-20.2,11,25
43106.0416666667,-21,14,22
43106.0833333333,-21.8,12,23
43106.125,-22.3,10,24
43106.1666666667,-22.2,11,24
43106.2083333333,-22.4,13,22
43106.25,-22.9,14,21
43106.2916666667,-21.5,14,22
43106.3333333333,-21.5,19,17
43106.375,-20.4,14,22
43106.4166666667,-21.4,8,27
43106.4583333333,-20,6,29
43106.5,-17.5,5,30
43106.5416666667,-17.9,5,30
43106.5833333333,-17.2,5,31
43106.625,-16.8,7,29
43106.6666666667,-16.4,8,29
43106.7083333333,-16.4,16,23
43106.75,-17.1,24,16
43106.7916666667,-18,25,16
43106.8333333333,-17.9,14,25
43106.875,-18.3,19,21
43106.9166666667,-19.4,24,17
43106.9583333333,-19.8,32,11
43107,-20.5,37,7
43107.0416666667,-20.6,38,7
43107.0833333333,-18.6,42,3
43107.125,-19.1,-999,-999
43107.1666666667,-18.1,41,2
43107.2083333333,-18,41,4
43107.25,-17.5,20,19
43107.2916666667,-16.5,22,18
43107.3333333333,-15.5,16,23
43107.375,-14.5,11,26
43107.4166666667,-12.2,11,27
43107.4583333333,-11.3,9,30
43107.5,-10.8,8,31
43107.5416666667,-10.4,7,32
43107.5833333333,-10,7,33
43107.625,-9.5,10,30
43107.6666666667,-9,10,30
43107.7083333333,-8.1,12,29
43107.75,-7.6,12,28
43107.7916666667,-7.1,15,25
43107.8333333333,-6,13,27
43107.875,-4.8,15,25
43107.9166666667,-4,14,-999
43107.9583333333,-3.4,15,25
43108,-2.2,17,23
43108.0416666667,-2.3,10,-999
43108.0833333333,-2.5,10,27
43108.125,-2.5,9,27
43108.1666666667,-2.5,9,27
43108.2083333333,-2.3,9,27
43108.25,-2.3,9,26
43108.2916666667,-2.4,11,24
43108.3333333333,-1.9,11,24
43108.375,-1.1,13,22
43108.4166666667,0,19,18
43108.4583333333,1.1,17,19
43108.5,1.2,14,21
43108.5416666667,1.9,21,14
43108.5833333333,1.8,17,15
43108.625,1.8,20,13
43108.6666666667,1.8,16,17
43108.7083333333,1.8,20,14
43108.75,2,22,13
43108.7916666667,2.1,13,22
43108.8333333333,2,13,23
43108.875,1.9,11,25
43108.9166666667,1.4,10,26
43108.9583333333,1,10,25
